@relation HouseData

@attribute location numeric
@attribute size numeric
@attribute houseDirection numeric
@attribute balconyDirection numeric
@attribute bedrooms numeric
@attribute bathrooms numeric
@attribute investor numeric
@attribute price numeric

@data
144,90,6,7,3,2,27,4.3
61,125,2,3,3,2,4,7.2
145,75,8,7,2,2,58,5
146,95,7,7,2,2,41,6.4
147,85,6,7,2,2,4,4.7
29,100,3,3,3,2,15,4.5
22,110,8,7,3,2,10,5.2
148,85,4,3,2,2,27,3.2
149,95,7,7,2,2,59,4.6
150,100,3,3,3,2,60,4
151,90,8,7,2,2,61,3.9
152,120,2,3,3,2,4,6.8
153,85,6,7,2,2,62,3.5
154,95,7,7,3,2,4,4.5
155,110,2,3,3,2,32,5.9
156,75,8,7,2,2,63,4.2
157,85,4,3,2,2,64,3.8
158,100,7,7,3,2,65,4.3
159,120,3,3,3,2,27,5.6
160,95,8,7,2,2,4,4.7
161,100,3,3,3,2,5,4
162,90,6,7,2,2,59,4.5
163,105,2,3,3,2,60,4.2
164,110,7,7,3,2,4,5
165,85,8,7,2,2,62,3.5
154,95,7,7,3,2,4,4.5
155,110,2,3,3,2,32,5.9
156,75,8,7,2,2,63,4.2
157,85,4,3,2,2,64,3.8
158,100,7,7,3,2,65,4.3
159,120,3,3,3,2,27,5.6
24,85,8,7,2,2,4,3.5
142,110,3,3,3,2,10,4.8
25,95,6,7,2,2,12,4.2
143,80,7,7,2,2,18,2.8
28,100,3,3,3,2,5,3.9
35,120,8,7,3,2,4,5.6
144,90,6,7,3,2,27,4.3
61,125,2,3,3,2,4,7.2
145,75,8,7,2,2,58,5
146,95,7,7,2,2,41,6.4
147,85,6,7,2,2,4,4.7
29,100,3,3,3,2,15,4.5
22,110,8,7,3,2,10,5.2
162,80,6,7,2,2,59,4
163,95,2,3,3,2,60,3.8
164,100,7,7,3,2,4,4.8
165,90,8,7,2,2,62,3.6
154,100,7,7,3,2,4,4.8
155,115,2,3,3,2,32,6.2
156,80,8,7,2,2,63,4.6
157,90,4,3,2,2,64,4.2
158,105,7,7,3,2,65,4.5
159,115,3,3,3,2,27,5.2
24,90,8,7,2,2,4,3.8
142,105,3,3,3,2,10,4.5
25,100,6,7,2,2,12,4
143,85,7,7,2,2,18,3.2
28,95,3,3,3,2,5,4
35,110,8,7,3,2,4,5.2
144,95,6,7,3,2,27,4.5
61,130,2,3,3,2,4,7
145,80,8,7,2,2,58,4.8
146,105,7,7,2,2,41,6
147,90,6,7,2,2,4,4.5
29,105,3,3,3,2,15,4.8
22,115,8,7,3,2,10,5.5
162,85,6,7,2,2,59,4.2
163,100,2,3,3,2,60,4.5
164,105,7,7,3,2,4,4.9
165,95,8,7,2,2,62,3.8
154,105,7,7,3,2,4,4.9
155,120,2,3,3,2,32,6.5
156,85,8,7,2,2,63,4.8
157,95,4,3,2,2,64,4.5
158,110,7,7,3,2,65,4.8
159,120,3,3,3,2,27,5.8
24,95,8,7,2,2,4,4
142,110,3,3,3,2,10,4.7
25,105,6,7,2,2,12,4.2
143,90,7,7,2,2,18,3.5
28,100,3,3,3,2,5,4.2
35,115,8,7,3,2,4,5.4
144,100,6,7,3,2,27,4.8
61,135,2,3,3,2,4,7.5
145,85,8,7,2,2,58,5.2
146,110,7,7,2,2,41,6.2
147,95,6,7,2,2,4,4.8
29,110,3,3,3,2,15,5
22,120,8,7,3,2,10,5.8
162,90,6,7,2,2,59,4.3
163,105,2,3,3,2,60,4.7
164,110,7,7,3,2,4,5.2
165,100,8,7,3,2,62,4
